,phi^2_exp_l [-]
Test bi smooth 106 @ Q_l_40 Q_g_2000,67.76011235478373
Test bi smooth 57 @ Q_l_80 Q_g_1000,16.75748823799814
Test bi smooth 37 @ Q_l_50 Q_g_3000,79.73913538582214
Test bi smooth 96 @ Q_l_30 Q_g_1000,42.83019091913483
Test bi smooth 50 @ Q_l_70 Q_g_1500,28.04221856741774
Test bi smooth 94 @ Q_l_20 Q_g_4000,262.8276512145588
Test bi smooth 77 @ Q_l_100 Q_g_3000,40.57887895808652
Test bi smooth 103 @ Q_l_40 Q_g_500,20.32569040373648
Test bi smooth 33 @ Q_l_50 Q_g_1000,22.65722795989136
Test bi smooth 38 @ Q_l_50 Q_g_3500,91.67216847268575
Test bi smooth 43 @ Q_l_60 Q_g_2000,43.45780244482361
Test bi smooth 9 @ Q_l_20 Q_g_1000,41.74943450961859
Test bi smooth 61 @ Q_l_80 Q_g_3000,46.62854488794516
Test bi smooth 81 @ Q_l_10 Q_g_1500,112.6515846238173
Test bi smooth 113 @ Q_l_50 Q_g_1500,46.39328016385484
