,Re_l [-],Re_lo [-],Re_g [-],Re_go [-],x [-],xv [-],f_l [-],f_lo [-],f_g [-],f_go [-],1/Re_l [-],1/Re_lo [-],1/Re_g [-],1/Re_go [-],G*_l/G*_g [-],(1-x)/x [-],(1-xv)/xv [-],X [-],Y [-]
Test bi smooth 21 @ Q_l_30 Q_g_3000,1408.341331918116,1745.49921287652,15499.77734906593,80243.85811670747,0.1931584262377178,0.9939597941321353,0.01387714723712075,0.009166432091156649,0.006896813529682311,0.00471179255666242,0.0007100551388618498,0.0005729020056972905,6.451705579243453e-05,1.246201296235769e-05,4.177097471115816,4.177097471115816,0.006076911665364318,0.2259980139062331,18.79700951393145
Test bi smooth 101 @ Q_l_30 Q_g_3500,1408.347561378996,1847.391589456035,20129.05653917263,84698.22472480476,0.2376561799798577,0.9950623747425686,0.01387712649499919,0.008660860042516054,0.006462853294299341,0.004657972256811681,0.0007100519981167439,0.0005413037526572534,4.967942725253546e-05,1.180662290442481e-05,3.207759293634838,3.207759293634838,0.004962126377965765,0.1848725455366149,18.64596711654229
Test bi smooth 104 @ Q_l_40 Q_g_1000,1877.776740065456,2003.209256546555,5751.665172618701,91856.47579734593,0.062615783184498,0.980719825811772,0.01261487122537663,0.007987183539468713,0.008985705041371455,0.004578803509170562,0.0005325446729972498,0.0004991989712167946,0.0001738626936701021,1.08865487307199e-05,14.9704143131691,14.9704143131691,0.01965920712602015,0.642784270317194,20.89359066789982
Test bi smooth 41 @ Q_l_60 Q_g_1000,2816.67132286739,2929.022361913438,5163.014327765772,134601.1977219659,0.03835786319249972,0.9669012701679791,0.01109425280398414,0.01096147712621025,0.009265905008288116,0.004230977164779061,0.0003550289989042788,0.0003414108451349383,0.0001936853040717276,7.429354395981038e-06,25.07027390919769,25.0702739091977,0.0342317575260509,1.013676189202396,16.81321399313465
Test bi smooth 107 @ Q_l_40 Q_g_2500,1877.790526949065,2191.386698938241,14378.29188316978,100474.4330467064,0.1431039862298691,0.9912496320301462,0.01261484110303492,0.007301312911934818,0.007029262174258655,0.004493545738533171,0.0005325407630129796,0.0004563320569959261,6.954929056423799e-05,9.952780719201878e-06,5.987925538242461,5.987925538242462,0.008827612830415383,0.3079965526499611,20.4319896331857
Test bi smooth 23 @ Q_l_30 Q_g_4000,1408.347832935279,1857.905425469303,20665.59009694943,85405.54669586905,0.2419701166546013,0.9951478034521691,0.01387712559080629,0.00861184847229693,0.006421362220204642,0.004649766388325739,0.0007100518612051963,0.0005382405295185582,4.838961749016864e-05,1.170884138896764e-05,3.132741736151839,3.132741736151839,0.004875855155383542,0.1816870065079692,18.62534284224319
Test bi smooth 89 @ Q_l_20 Q_g_1500,938.8875270647577,1127.035208707342,8627.56150781878,51680.49640426281,0.166940376120442,0.9935865517398941,0.01704144483633814,0.01419653962572409,0.008034673600337949,0.005185637785865094,0.001065090302271134,0.0008872837266077554,0.0001159076060012721,1.934965934107235e-05,4.990162615175451,4.990162615175451,0.006454846081476421,0.2613782113556846,16.80444769929676
Test bi smooth 26 @ Q_l_40 Q_g_1500,1877.780243346062,2046.354300021771,7750.16447455344,94080.80170300441,0.0823777469394794,0.9850905779992489,0.01261486357118592,0.007818782895918745,0.008271704247125127,0.004555828010336249,0.0005325436794553104,0.0004886739309949216,0.0001290295197325627,1.062916112425162e-05,11.13920065979313,11.13920065979313,0.01513507725455317,0.5070643931093468,20.70850635960703
Test bi smooth 0 @ Q_l_10 Q_g_500,469.4431502990795,525.6329834463075,2583.473619437473,24167.34256322919,0.1068993668906009,0.9895078892865811,0.03408293419513415,0.0304394901079003,0.01139579047752304,0.00618221212735914,0.002130183387195885,0.001902468131743769,0.0003870757543162917,4.137815307511336e-05,8.354592352482163,8.354592352482165,0.01060336236529006,0.5147314376643366,12.6501039724144
Test bi smooth 53 @ Q_l_70 Q_g_3000,3286.162589158236,3623.342764488933,15498.51020576698,166547.2021282004,0.09305776385145717,0.9839412034120789,0.01058369029751716,0.01027725825410174,0.006896955751551796,0.004053528725138304,0.0003043063064801532,0.000275988242073214,6.45223306449094e-05,6.004303808299618e-06,9.746013643700307,9.746013643700307,0.01632089044775533,0.4940549716566898,15.34686155085352
Test bi smooth 52 @ Q_l_70 Q_g_2500,3286.149633228444,3567.125783485887,12915.84286737619,163972.7644693548,0.07876822049792336,0.9817681284501083,0.0105837029257736,0.01032546247866108,0.007224832240292835,0.004066139597246689,0.0003043075062341456,0.0002803377454839213,7.742429280599838e-05,6.098573767638662e-06,11.69547532848434,11.69547532848433,0.01857044552737099,0.564059654495642,15.74831753310006
Test bi smooth 106 @ Q_l_40 Q_g_2000,1877.784844714826,2128.656878795902,11502.92108614093,97602.63708129006,0.1178546136674619,0.9895719910244756,0.01261485351785383,0.007516476779033818,0.007444938476715852,0.004520862402776521,0.0005325423744975786,0.0004697797986896136,8.693443974025261e-05,1.024562480998472e-05,7.485030571833155,7.485030571833154,0.01053789827330158,0.3655816086626973,20.66918120953813
Test bi smooth 57 @ Q_l_80 Q_g_1000,3755.568819375872,3867.953178746277,5166.682949207412,177822.6778967943,0.02905525330242794,0.9550766656539048,0.01016796091975356,0.0100792793583473,0.00926402126005073,0.004001115869647069,0.0002662712489359168,0.0002585346703509299,0.0001935477771387934,5.623579690889514e-06,33.41718403179218,33.41718403179218,0.04703636468318267,1.313466384204329,16.7936026726377
Test bi smooth 37 @ Q_l_50 Q_g_3000,2347.246084322453,2684.318143939547,15487.96444680612,123340.4632364966,0.1255708308562864,0.9893033071120017,0.01174408509135449,0.01126077378896052,0.006898140003082663,0.004307045939136722,0.0004260311718822853,0.0003725340836583493,6.456626391638036e-05,8.107639405266148e-06,6.963632900896244,6.963632900896245,0.01081234926751068,0.3580317651957969,15.69508008522266
Test bi smooth 96 @ Q_l_30 Q_g_1000,1408.331325348044,1533.763133139571,5751.706504186676,70331.08701919354,0.08178042950789344,0.9856786049623621,0.01387718055609631,0.01043185851471631,0.008985686795951305,0.00484698936127662,0.000710060183993186,0.0006519911571697695,0.0001738614442986787,1.421846358960864e-05,11.22786436825305,11.22786436825304,0.01452947742351039,0.5019362447639242,18.94867167494245
Test bi smooth 50 @ Q_l_70 Q_g_1500,3286.128111308587,3454.706485997952,7749.920681449467,158820.4969558427,0.04879672857089852,0.9726284204405818,0.01058372390353157,0.01042518418998007,0.008271775227230015,0.004092162296986042,0.0003043094992427987,0.0002894601912067017,0.0001290335786782491,6.296416515294201e-06,19.49317708967035,19.49317708967035,0.02814186690845345,0.8377947897876263,16.48919364194199
Test bi smooth 94 @ Q_l_20 Q_g_4000,938.8964284059157,1440.654322323644,23005.03087577342,66052.3682200526,0.3482847246162691,0.9971983342584502,0.01704128327249603,0.01110606462082692,0.006256114647145895,0.004913323577384662,0.001065080204531002,0.0006941290388016824,4.346875278716097e-05,1.513950259388904e-05,1.871214065163993,1.871214065163994,0.002809537125463855,0.1196679696617294,17.16532118989124
Test bi smooth 77 @ Q_l_100 Q_g_3000,4694.542376164841,5031.734127663916,15497.8477735477,231266.1837094606,0.06701303028815325,0.9756978143223559,0.009523167485007918,0.009334579855813777,0.006897030108047954,0.003800461815017878,0.0002130133077671651,0.0001987386405219844,6.452508855499517e-05,4.324021713681662e-06,13.92247098362873,13.92247098362873,0.02490749217730133,0.691962903432532,15.08564760000985
Test bi smooth 103 @ Q_l_40 Q_g_500,1877.774108516021,1940.489797993625,2875.865749381036,88982.32951845367,0.03231951517727599,0.9630213939992887,0.01261487697496722,0.008245340952858008,0.01102336934107603,0.004609589658677097,0.000532545419315791,0.0005153338095536255,0.0003477213775417809,1.12381863389249e-05,29.94105819703339,29.94105819703339,0.03839853011691105,1.147031125763903,20.87868281278763
Test bi smooth 33 @ Q_l_50 Q_g_1000,2347.223276980373,2459.573422026703,5163.065008534647,113030.0051321806,0.04567871161729851,0.9727876710290867,0.01174412113968234,0.0115724522762406,0.009265878972112998,0.004385047983782375,0.0004260353115134696,0.0004065745673800599,0.000193683402852178,8.84720830394169e-06,20.89203601839988,20.89203601839988,0.02797355453952874,0.8606590896865304,16.82251915019115
Test bi smooth 38 @ Q_l_50 Q_g_3500,2347.254222804329,2740.513945225161,18068.7774537961,125916.1153867385,0.1434985299403472,0.9903707842078837,0.01174407222813408,0.01118865971095028,0.006637263765509033,0.004288873377375552,0.0004260296947321166,0.000364895059827123,5.534408747670463e-05,7.941795193797093e-06,5.968712504690489,5.968712504690487,0.009722839107999239,0.3204436709367742,15.34003534480389
Test bi smooth 43 @ Q_l_60 Q_g_2000,2816.684256821683,3041.393150314756,10325.64128515205,139755.6375677533,0.07388354033407922,0.9819503114467099,0.01109423708286316,0.01083578875815726,0.007658814562506399,0.004198856328079921,0.000355027368643864,0.0003287966897329631,9.684628512497024e-05,7.155346413236474e-06,12.53481432370863,12.53481432370863,0.01838146833183188,0.5777194602514888,16.25564082467522
Test bi smooth 9 @ Q_l_20 Q_g_1000,938.8872406766696,1051.267654745029,5166.905228199115,48334.04812189624,0.1068999065662454,0.9893277542156724,0.01704145003447759,0.0152197206180386,0.00926390718564348,0.005263717884589969,0.001065090627154849,0.0009512325386274122,0.0001935394507610394,2.068934920323756e-05,8.354545126569448,8.35454512656945,0.0107873712618003,0.4071696443468671,16.36615100129904
Test bi smooth 61 @ Q_l_80 Q_g_3000,3755.61278984477,4092.792016581479,15498.56435189596,188126.6561461276,0.08238366996677725,0.9817895981188007,0.01016792548752851,0.009912381762095013,0.006896949673964447,0.003956830568152321,0.0002662681314495504,0.0002443319855855402,6.452210522826062e-05,5.315567822686696e-06,11.13832790410125,11.13832790410125,0.01854817153908747,0.5518845045011577,15.48260966144051
Test bi smooth 81 @ Q_l_10 Q_g_1500,469.4432783162433,657.5897012573403,8627.634852632755,30154.40706558837,0.2861152213627323,0.9968391364729027,0.03408292490071933,0.02433128129806063,0.008034655198280621,0.005865380310011956,0.002130182806294958,0.001520705081128789,0.0001159066206533818,3.316264842564856e-05,2.495095420778805,2.495095420778806,0.003170886265843603,0.1831971524304198,13.77269232651436
Test bi smooth 113 @ Q_l_50 Q_g_1500,2347.228351767403,2535.701501061342,8664.855698684749,116576.2215145486,0.07432781390674412,0.9830161806731779,0.01174411311864312,0.01146243040713062,0.008025344422279144,0.004357212251992124,0.0004260343904107266,0.0003943681855224049,0.00011540873094422,8.57807867683549e-06,12.45391378326634,12.45391378326634,0.01727725307145145,0.5611365369777366,16.55318551031379
